kode_provinsi,nama_provinsi,kode_kota,nama_kota,nilai,satuan,tahun,source_file,usia_kelompok,pendidikan,kode_kecamatan,metric,usia_min,usia_max,usia_mid,usia_label_std,pendidikan_level_ord,nama_kecamatan,daerah,usia_group
32,Jawa Barat,3275,Kota Bekasi,2280.0,Orang,2022,data5.csv,15-19,ALL,,jumlah_by_usia,15.0,19.0,17.0,15-19,,,Kota Bekasi,15-19
32,Jawa Barat,3275,Kota Bekasi,15978.0,Orang,2022,data5.csv,20-24,ALL,,jumlah_by_usia,20.0,24.0,22.0,20-24,,,Kota Bekasi,20-24
32,Jawa Barat,3275,Kota Bekasi,24963.0,Orang,2022,data5.csv,25-29,ALL,,jumlah_by_usia,25.0,29.0,27.0,25-29,,,Kota Bekasi,25-29
32,Jawa Barat,3275,Kota Bekasi,1995.0,Orang,2022,data5.csv,30-34,ALL,,jumlah_by_usia,30.0,34.0,32.0,30-34,,,Kota Bekasi,30-34
32,Jawa Barat,3275,Kota Bekasi,60.0,Orang,2022,data5.csv,35-39,ALL,,jumlah_by_usia,35.0,39.0,37.0,35-39,,,Kota Bekasi,35-39
32,Jawa Barat,3275,Kota Bekasi,335.0,Orang,2022,data5.csv,40-44,ALL,,jumlah_by_usia,40.0,44.0,42.0,40-44,,,Kota Bekasi,40-44
32,Jawa Barat,3275,Kota Bekasi,30.0,Orang,2022,data5.csv,45-49,ALL,,jumlah_by_usia,45.0,49.0,47.0,45-49,,,Kota Bekasi,45-49
32,Jawa Barat,3275,Kota Bekasi,1.0,Orang,2022,data5.csv,50-54,ALL,,jumlah_by_usia,50.0,54.0,52.0,50-54,,,Kota Bekasi,50-54
32,Jawa Barat,3275,Kota Bekasi,483.0,Orang,2022,data5.csv,55-59,ALL,,jumlah_by_usia,55.0,59.0,57.0,55-59,,,Kota Bekasi,55-59
32,Jawa Barat,3275,Kota Bekasi,23.0,Orang,2022,data5.csv,60-64,ALL,,jumlah_by_usia,60.0,64.0,62.0,60-64,,,Kota Bekasi,60-64
32,Jawa Barat,3275,Kota Bekasi,7.81,Persen,2023,data6.csv,,SD ke Bawah,,tingkat_pengangguran_(persen)_by_pendidikan,,,,,1.0,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,7.97,Persen,2023,data6.csv,,Sekolah Menengah Pertama,,tingkat_pengangguran_(persen)_by_pendidikan,,,,,2.0,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,11.49,Persen,2023,data6.csv,,Sekolah Menengah Atas,,tingkat_pengangguran_(persen)_by_pendidikan,,,,,3.0,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,8.85,Persen,2023,data6.csv,,Sekolah Menengah Kejuruan,,tingkat_pengangguran_(persen)_by_pendidikan,,,,,,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,5.07,Persen,2023,data6.csv,,Perguruan Tinggi,,tingkat_pengangguran_(persen)_by_pendidikan,,,,,,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,1.62,Persen,2024,data6.csv,,SD ke Bawah,,tingkat_pengangguran_(persen)_by_pendidikan,,,,,1.0,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,6.49,Persen,2024,data6.csv,,Sekolah Menengah Pertama,,tingkat_pengangguran_(persen)_by_pendidikan,,,,,2.0,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,11.33,Persen,2024,data6.csv,,Sekolah Menengah Atas,,tingkat_pengangguran_(persen)_by_pendidikan,,,,,3.0,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,9.85,Persen,2024,data6.csv,,Sekolah Menengah Kejuruan,,tingkat_pengangguran_(persen)_by_pendidikan,,,,,,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,7.26,Persen,2024,data6.csv,,Perguruan Tinggi,,tingkat_pengangguran_(persen)_by_pendidikan,,,,,,,Kota Bekasi,ALL
